SMILES,MOLREGNO,Sol_uM,Acidic_pKa,Basic_pKa,Charge_State
C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc5cscn5)c3)c12)C(=O)N6CCOCC6,424666,151.4,14.75,4.55,neutral
NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,596847,151.4,13.4,8.33,basic
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,2261,151.4,15.9,7.35,neutral
c1ccc(cc1)c2c[nH]c(n2)c3ccccc3,196713,151.4,13.02,5.29,neutral
NCc1ccc(NC(=O)c2cc(Nc3ncccn3)c4cc(ccc4c2)C(=N)N)cc1,170185,151.4,12.08,11.18,basic
CSc1nc(N)n2nc(nc2n1)c3occc3,622152,151.4,18.09,-0.95,neutral
Fc1cccc(c1)C(=O)Nc2nc[nH]n2,984896,151.4,9.79,-0.83,neutral
O[C@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NC5CCS(=O)(=O)C5)cc3,1275169,154.9,12.56,8.09,basic
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,5028,154.9,11.59,-6.45,neutral
CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4cccnn34)cc1,513725,158.5,10.63,9.28,basic
CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)CO)n2,490194,158.5,13.58,6.01,neutral
CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)N4CCN(CC4)C(=O)CO)ncc2F,490263,158.5,13.61,5.75,neutral
Cc1cc(C)cc(c1)c2[nH]c3ccccc3c2CCNCCCCc4ccncc4,8669,158.5,15.85,10.52,basic
Oc1ncnc2c1cnn2Cc3ccccc3,990369,158.5,7.38,-1.09,acidic
COc1ccc(NC(=O)c2onc(C)c2)cc1,747491,158.5,13.35,-0.4,neutral
COc1ccc(cc1C(C)O)c2ccc3c(nc(nc3n2)N4CCOC[C@@H]4C)N5CCOC[C@@H]5C,1525987,158.5,14.45,2.0,neutral
COc1ncc(cn1)c2cccc3OC[C@H](Cc23)NC(=O)c4ccc(COCC(F)(F)F)nc4,1359562,158.5,13.85,2.29,neutral
O[C@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NC5CCCS(=O)(=O)C5)cc3,1275168,162.20000000000002,12.56,8.09,basic
Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@H](O)CO)c3,340687,162.20000000000002,13.62,2.19,neutral
CCN(C1CCN(CC[C@H](c2ccc(cc2)S(=O)(=O)C)c3cc(F)cc(F)c3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,351014,162.20000000000002,19.4,7.43,basic
